Timestamp,Age Group,Gender,Preferred Tool,Satisfaction (1-5),Feedback,Date,Feedback Length
2024-04-16 08:47:00,45+,Other,Tableau,3,Excellent experience,2024-04-16,20
2024-04-07 07:11:00,45+,Male,Python,5,Helpful for beginners,2024-04-07,21
2024-05-09 14:52:00,18-24,Male,Excel,2,Amazing analytics,2024-05-09,17
2024-04-09 19:15:00,18-24,Female,Python,3,Helpful for beginners,2024-04-09,21
2024-04-07 19:54:00,18-24,Other,Power Bi,5,Helpful for beginners,2024-04-07,21
2024-04-11 02:10:00,45+,Male,R,1,Excellent experience,2024-04-11,20
2024-04-19 15:59:00,18-24,Other,R,3,Could add more charts,2024-04-19,21
2024-04-18 21:58:00,45+,Male,Tableau,4,Could be faster,2024-04-18,15
2024-04-25 11:21:00,45+,Female,Tableau,1,Very easy to use,2024-04-25,16
2024-04-30 09:59:00,18-24,Other,Excel,1,Needs improvement,2024-04-30,17
2024-04-26 14:26:00,18-24,Female,Python,4,Very intuitive dashboard,2024-04-26,24
2024-05-09 18:27:00,25-34,Other,Python,1,Very helpful for analysis,2024-05-09,25
2024-04-25 17:41:00,45+,Other,R,1,Very intuitive dashboard,2024-04-25,24
2024-04-02 13:43:00,45+,Female,Tableau,1,Makes analysis simple,2024-04-02,21
2024-04-06 00:49:00,45+,Other,R,1,Fast and reliable,2024-04-06,17
2024-04-30 18:51:00,45+,Other,Excel,4,Needs improvement,2024-04-30,17
2024-04-17 17:18:00,18-24,Other,Power Bi,3,Great tool very useful,2024-04-17,22
2024-04-09 22:52:00,35-44,Male,Python,5,Very easy to use,2024-04-09,16
2024-04-16 04:59:00,35-44,Other,Power Bi,3,Fast and reliable,2024-04-16,17
2024-04-19 02:19:00,35-44,Other,Tableau,5,Interface is good,2024-04-19,17
2024-04-08 03:29:00,18-24,Other,Tableau,4,Excellent experience,2024-04-08,20
2024-04-13 13:46:00,35-44,Male,R,1,Interface is good,2024-04-13,17
2024-04-09 16:20:00,18-24,Male,Python,1,Very helpful for analysis,2024-04-09,25
2024-04-23 09:59:00,35-44,Female,Excel,2,Needs improvement,2024-04-23,17
2024-04-05 18:55:00,25-34,Other,Tableau,4,Very intuitive dashboard,2024-04-05,24
2024-05-08 11:45:00,18-24,Male,Excel,5,Makes analysis simple,2024-05-08,21
2024-04-30 06:59:00,25-34,Female,Python,2,Great tool very useful,2024-04-30,22
2024-04-23 16:26:00,45+,Male,Tableau,4,Fast and reliable,2024-04-23,17
2024-05-07 11:35:00,18-24,Female,R,5,Interface is good,2024-05-07,17
2024-04-01 17:51:00,35-44,Other,R,1,Very helpful for analysis,2024-04-01,25
2024-04-07 14:49:00,25-34,Female,Excel,1,Amazing analytics,2024-04-07,17
2024-04-18 23:17:00,18-24,Male,Tableau,5,Fast and reliable,2024-04-18,17
2024-04-15 13:44:00,18-24,Other,Power Bi,3,Could add more charts,2024-04-15,21
2024-04-21 12:39:00,35-44,Male,Power Bi,1,Interface is good,2024-04-21,17
2024-05-01 15:00:00,35-44,Female,R,1,Fast and reliable,2024-05-01,17
2024-04-16 05:54:00,45+,Male,R,5,Good but needs more features,2024-04-16,28
2024-04-23 02:55:00,35-44,Other,Tableau,2,Good but needs more features,2024-04-23,28
2024-04-07 21:46:00,18-24,Male,Tableau,1,Very helpful for analysis,2024-04-07,25
2024-04-06 11:42:00,35-44,Other,Excel,5,Needs improvement,2024-04-06,17
2024-04-14 00:43:00,45+,Other,Excel,2,Helpful for beginners,2024-04-14,21
2024-04-07 21:36:00,18-24,Male,R,5,Loved the visualization,2024-04-07,23
2024-04-12 12:38:00,18-24,Female,Tableau,3,Makes analysis simple,2024-04-12,21
2024-04-09 11:58:00,35-44,Female,Excel,3,Makes analysis simple,2024-04-09,21
2024-05-01 09:13:00,18-24,Female,Tableau,3,Very easy to use,2024-05-01,16
2024-05-03 17:39:00,25-34,Male,Power Bi,5,Could be faster,2024-05-03,15
2024-04-18 23:45:00,25-34,Male,Tableau,4,Could be faster,2024-04-18,15
2024-04-11 04:56:00,25-34,Male,Excel,2,Good but needs more features,2024-04-11,28
2024-04-02 16:35:00,25-34,Female,Python,3,Excellent experience,2024-04-02,20
2024-04-29 02:01:00,18-24,Male,Power Bi,3,Needs improvement,2024-04-29,17
2024-04-15 17:32:00,45+,Male,R,5,Interface is good,2024-04-15,17
2024-04-11 23:06:00,18-24,Male,R,2,Loved the visualization,2024-04-11,23
2024-04-30 12:12:00,35-44,Female,R,1,Could add more charts,2024-04-30,21
2024-04-13 01:53:00,25-34,Other,R,3,Amazing analytics,2024-04-13,17
2024-04-14 07:33:00,18-24,Other,Tableau,4,Could be faster,2024-04-14,15
2024-04-06 07:55:00,25-34,Male,Tableau,2,Excellent experience,2024-04-06,20
2024-04-14 05:32:00,45+,Male,R,3,Very helpful for analysis,2024-04-14,25
2024-05-12 03:00:00,18-24,Female,Excel,3,Loved the visualization,2024-05-12,23
2024-04-12 16:33:00,18-24,Female,R,3,Could add more charts,2024-04-12,21
2024-04-16 08:01:00,18-24,Female,Power Bi,1,Could be faster,2024-04-16,15
2024-04-08 12:53:00,25-34,Female,Power Bi,4,Helpful for beginners,2024-04-08,21
2024-04-22 18:35:00,45+,Other,Python,1,Very easy to use,2024-04-22,16
2024-04-10 14:33:00,25-34,Female,Python,3,Amazing analytics,2024-04-10,17
2024-04-11 19:01:00,45+,Female,Excel,1,Fast and reliable,2024-04-11,17
2024-04-28 02:48:00,18-24,Female,Excel,5,Great tool very useful,2024-04-28,22
2024-04-11 08:37:00,35-44,Male,Excel,2,Fast and reliable,2024-04-11,17
2024-04-23 09:14:00,25-34,Male,R,3,Very helpful for analysis,2024-04-23,25
2024-04-26 02:05:00,18-24,Female,Excel,4,Could be faster,2024-04-26,15
2024-05-03 04:52:00,18-24,Female,Power Bi,1,Loved the visualization,2024-05-03,23
2024-04-05 06:35:00,45+,Female,Power Bi,5,Very intuitive dashboard,2024-04-05,24
2024-04-10 16:52:00,45+,Female,Python,5,Needs improvement,2024-04-10,17
2024-04-22 08:10:00,35-44,Male,Tableau,3,Could add more charts,2024-04-22,21
2024-04-18 01:27:00,45+,Female,Tableau,1,Could be faster,2024-04-18,15
2024-05-10 00:03:00,25-34,Male,Python,5,Helpful for beginners,2024-05-10,21
2024-05-11 14:26:00,18-24,Other,Power Bi,1,Could be faster,2024-05-11,15
2024-04-17 10:20:00,35-44,Female,Python,2,Loved the visualization,2024-04-17,23
2024-04-14 00:33:00,18-24,Other,Power Bi,4,Very easy to use,2024-04-14,16
2024-04-10 20:38:00,25-34,Male,Excel,1,Interface is good,2024-04-10,17
2024-05-13 00:13:00,45+,Other,R,1,Loved the visualization,2024-05-13,23
2024-05-09 23:40:00,18-24,Female,R,3,Very intuitive dashboard,2024-05-09,24
2024-04-07 13:19:00,35-44,Male,Tableau,3,Good but needs more features,2024-04-07,28
2024-04-30 19:31:00,35-44,Female,Excel,4,Could add more charts,2024-04-30,21
2024-04-23 13:49:00,25-34,Female,Tableau,5,Makes analysis simple,2024-04-23,21
2024-05-08 08:22:00,45+,Female,R,4,Excellent experience,2024-05-08,20
2024-04-22 22:24:00,25-34,Other,Tableau,4,Very intuitive dashboard,2024-04-22,24
2024-05-08 02:04:00,45+,Male,Tableau,5,Excellent experience,2024-05-08,20
2024-05-07 15:34:00,45+,Other,Tableau,3,Very intuitive dashboard,2024-05-07,24
2024-05-05 16:07:00,35-44,Male,Python,5,Excellent experience,2024-05-05,20
2024-04-28 21:21:00,35-44,Female,R,4,Very helpful for analysis,2024-04-28,25
2024-05-05 05:50:00,35-44,Other,Excel,5,Needs improvement,2024-05-05,17
2024-04-27 20:25:00,45+,Male,Tableau,5,Loved the visualization,2024-04-27,23
2024-04-16 23:56:00,18-24,Male,Python,5,Loved the visualization,2024-04-16,23
2024-04-20 15:46:00,25-34,Other,Python,2,Makes analysis simple,2024-04-20,21
2024-05-11 22:55:00,35-44,Female,Python,1,Interface is good,2024-05-11,17
2024-04-30 21:44:00,45+,Other,Python,5,Good but needs more features,2024-04-30,28
2024-04-21 18:02:00,35-44,Male,Power Bi,4,Interface is good,2024-04-21,17
2024-05-11 17:20:00,25-34,Female,R,3,Excellent experience,2024-05-11,20
2024-05-10 11:08:00,25-34,Male,R,1,Very intuitive dashboard,2024-05-10,24
2024-04-15 00:07:00,45+,Male,Power Bi,4,Excellent experience,2024-04-15,20
2024-04-16 07:27:00,25-34,Female,Python,4,Very intuitive dashboard,2024-04-16,24
2024-05-06 00:49:00,25-34,Female,R,2,Could be faster,2024-05-06,15
2024-04-06 06:48:00,45+,Female,R,4,Could be faster,2024-04-06,15
2024-04-26 00:15:00,45+,Male,Python,2,Interface is good,2024-04-26,17
2024-04-27 13:17:00,45+,Male,Excel,5,Interface is good,2024-04-27,17
2024-04-08 18:09:00,18-24,Female,Python,5,Could add more charts,2024-04-08,21
2024-05-04 06:33:00,25-34,Male,Python,1,Interface is good,2024-05-04,17
2024-05-04 21:08:00,45+,Other,Python,5,Good but needs more features,2024-05-04,28
2024-04-12 16:07:00,25-34,Male,Excel,2,Great tool very useful,2024-04-12,22
2024-04-13 04:16:00,35-44,Male,Python,1,Makes analysis simple,2024-04-13,21
2024-05-09 04:45:00,45+,Female,Python,3,Could be faster,2024-05-09,15
2024-04-24 03:37:00,18-24,Other,Tableau,4,Fast and reliable,2024-04-24,17
2024-04-13 08:01:00,45+,Female,Tableau,2,Helpful for beginners,2024-04-13,21
2024-04-15 02:08:00,45+,Male,R,2,Interface is good,2024-04-15,17
2024-04-20 07:39:00,18-24,Female,Python,4,Could be faster,2024-04-20,15
2024-04-15 00:27:00,35-44,Female,Excel,2,Helpful for beginners,2024-04-15,21
2024-05-03 07:38:00,45+,Other,R,1,Very intuitive dashboard,2024-05-03,24
2024-05-05 17:20:00,35-44,Male,Tableau,1,Very helpful for analysis,2024-05-05,25
2024-05-05 07:48:00,18-24,Female,Tableau,3,Fast and reliable,2024-05-05,17
2024-05-05 04:16:00,18-24,Male,Excel,4,Very helpful for analysis,2024-05-05,25
2024-04-02 18:54:00,18-24,Other,Excel,2,Makes analysis simple,2024-04-02,21
2024-05-08 14:40:00,45+,Male,R,4,Very easy to use,2024-05-08,16
2024-04-10 22:20:00,25-34,Male,Excel,5,Amazing analytics,2024-04-10,17
2024-04-05 01:25:00,35-44,Male,Excel,3,Good but needs more features,2024-04-05,28
2024-04-29 12:13:00,45+,Other,Tableau,4,Could add more charts,2024-04-29,21
2024-04-25 05:20:00,35-44,Female,R,2,Very intuitive dashboard,2024-04-25,24
2024-05-03 19:02:00,35-44,Male,R,5,Could add more charts,2024-05-03,21
2024-04-16 00:20:00,45+,Other,Tableau,1,Makes analysis simple,2024-04-16,21
2024-04-28 20:41:00,25-34,Other,Excel,4,Good but needs more features,2024-04-28,28
2024-05-07 00:23:00,18-24,Male,Excel,1,Could add more charts,2024-05-07,21
2024-04-02 19:32:00,18-24,Male,Python,2,Could add more charts,2024-04-02,21
2024-05-10 02:01:00,25-34,Female,R,5,Very easy to use,2024-05-10,16
2024-04-24 07:42:00,18-24,Male,Python,5,Needs improvement,2024-04-24,17
2024-05-10 04:37:00,35-44,Female,Excel,4,Interface is good,2024-05-10,17
2024-05-01 02:24:00,25-34,Female,Python,1,Loved the visualization,2024-05-01,23
2024-04-15 10:02:00,45+,Female,Power Bi,5,Good but needs more features,2024-04-15,28
2024-04-05 13:43:00,25-34,Female,Power Bi,4,Could be faster,2024-04-05,15
2024-05-09 21:11:00,35-44,Male,Excel,4,Great tool very useful,2024-05-09,22
2024-04-10 21:37:00,45+,Male,R,5,Could add more charts,2024-04-10,21
2024-04-03 02:34:00,25-34,Female,Power Bi,1,Excellent experience,2024-04-03,20
2024-04-20 23:11:00,35-44,Male,R,1,Very easy to use,2024-04-20,16
2024-04-17 03:28:00,18-24,Other,Excel,4,Very intuitive dashboard,2024-04-17,24
2024-04-10 23:41:00,45+,Female,Tableau,3,Interface is good,2024-04-10,17
2024-05-04 05:06:00,35-44,Male,Tableau,3,Amazing analytics,2024-05-04,17
2024-04-21 23:12:00,18-24,Male,Excel,2,Makes analysis simple,2024-04-21,21
2024-05-02 16:18:00,18-24,Female,Excel,1,Needs improvement,2024-05-02,17
2024-05-06 17:49:00,35-44,Female,Excel,1,Needs improvement,2024-05-06,17
2024-05-04 23:15:00,25-34,Male,Excel,2,Could be faster,2024-05-04,15
2024-04-05 07:43:00,45+,Male,Excel,4,Very helpful for analysis,2024-04-05,25
2024-05-03 00:58:00,45+,Other,Power Bi,3,Helpful for beginners,2024-05-03,21
2024-04-29 21:15:00,25-34,Female,Tableau,2,Very intuitive dashboard,2024-04-29,24
2024-04-20 04:16:00,18-24,Male,R,3,Could add more charts,2024-04-20,21
2024-04-29 09:46:00,35-44,Female,Power Bi,1,Very helpful for analysis,2024-04-29,25
2024-05-03 13:19:00,35-44,Female,Excel,4,Very helpful for analysis,2024-05-03,25
2024-04-07 21:13:00,25-34,Male,Excel,3,Very helpful for analysis,2024-04-07,25
2024-04-26 04:01:00,18-24,Male,Power Bi,3,Very easy to use,2024-04-26,16
2024-04-11 09:01:00,18-24,Female,Python,4,Could be faster,2024-04-11,15
2024-04-10 17:21:00,35-44,Female,R,3,Fast and reliable,2024-04-10,17
2024-04-17 08:53:00,35-44,Male,Tableau,3,Needs improvement,2024-04-17,17
2024-04-28 19:51:00,18-24,Female,Excel,5,Very intuitive dashboard,2024-04-28,24
2024-04-25 08:33:00,25-34,Female,Python,1,Excellent experience,2024-04-25,20
2024-04-15 01:16:00,25-34,Other,Excel,5,Very intuitive dashboard,2024-04-15,24
2024-04-04 07:23:00,18-24,Other,Tableau,4,Could be faster,2024-04-04,15
2024-04-27 12:34:00,18-24,Female,Power Bi,2,Very intuitive dashboard,2024-04-27,24
2024-05-11 23:39:00,25-34,Male,Excel,3,Very easy to use,2024-05-11,16
2024-04-14 05:57:00,25-34,Male,R,3,Excellent experience,2024-04-14,20
2024-04-21 07:17:00,45+,Male,Power Bi,5,Helpful for beginners,2024-04-21,21
2024-04-24 16:12:00,45+,Female,Python,4,Helpful for beginners,2024-04-24,21
2024-04-30 18:13:00,18-24,Male,Power Bi,4,Could add more charts,2024-04-30,21
2024-05-01 21:39:00,35-44,Female,R,4,Helpful for beginners,2024-05-01,21
2024-04-06 15:27:00,35-44,Female,Excel,4,Excellent experience,2024-04-06,20
2024-04-05 12:23:00,45+,Male,Excel,1,Could add more charts,2024-04-05,21
2024-05-05 00:09:00,45+,Male,R,5,Very intuitive dashboard,2024-05-05,24
2024-04-06 09:53:00,45+,Other,R,4,Needs improvement,2024-04-06,17
2024-04-18 23:47:00,45+,Male,Power Bi,3,Good but needs more features,2024-04-18,28
2024-04-18 19:50:00,18-24,Other,R,4,Very helpful for analysis,2024-04-18,25
2024-04-14 08:04:00,45+,Male,Python,3,Great tool very useful,2024-04-14,22
2024-04-15 18:50:00,35-44,Female,Excel,3,Very helpful for analysis,2024-04-15,25
2024-04-13 15:13:00,18-24,Female,Python,2,Very intuitive dashboard,2024-04-13,24
2024-04-07 03:16:00,45+,Other,Excel,2,Good but needs more features,2024-04-07,28
2024-04-18 10:56:00,25-34,Female,R,1,Could add more charts,2024-04-18,21
2024-04-04 06:22:00,25-34,Male,Power Bi,2,Helpful for beginners,2024-04-04,21
2024-04-09 16:40:00,45+,Other,R,5,Very easy to use,2024-04-09,16
2024-04-17 13:33:00,45+,Other,Tableau,4,Amazing analytics,2024-04-17,17
2024-05-08 01:29:00,45+,Female,Power Bi,4,Needs improvement,2024-05-08,17
2024-04-17 22:41:00,18-24,Male,Tableau,2,Very helpful for analysis,2024-04-17,25
2024-04-13 02:35:00,18-24,Male,R,2,Loved the visualization,2024-04-13,23
2024-05-03 15:44:00,35-44,Male,Python,1,Fast and reliable,2024-05-03,17
2024-04-02 07:04:00,18-24,Other,Power Bi,5,Amazing analytics,2024-04-02,17
2024-04-30 16:14:00,25-34,Female,Tableau,5,Very intuitive dashboard,2024-04-30,24
2024-05-01 01:33:00,45+,Female,Python,3,Needs improvement,2024-05-01,17
2024-04-20 23:16:00,25-34,Female,R,5,Amazing analytics,2024-04-20,17
2024-04-27 07:26:00,18-24,Other,R,5,Good but needs more features,2024-04-27,28
2024-04-03 09:47:00,45+,Other,Power Bi,5,Very easy to use,2024-04-03,16
2024-05-11 14:41:00,25-34,Female,Power Bi,2,Makes analysis simple,2024-05-11,21
2024-05-09 01:00:00,18-24,Other,Python,4,Fast and reliable,2024-05-09,17
2024-04-27 23:49:00,35-44,Other,R,4,Could add more charts,2024-04-27,21
2024-04-06 10:09:00,45+,Male,Excel,1,Helpful for beginners,2024-04-06,21
2024-04-13 07:39:00,18-24,Female,Power Bi,1,Very easy to use,2024-04-13,16
2024-04-30 03:19:00,35-44,Female,Excel,4,Excellent experience,2024-04-30,20
2024-04-06 15:08:00,25-34,Female,Power Bi,5,Very helpful for analysis,2024-04-06,25
2024-04-16 10:08:00,45+,Other,Excel,3,Makes analysis simple,2024-04-16,21
2024-04-14 21:19:00,45+,Other,Tableau,5,Helpful for beginners,2024-04-14,21
2024-04-08 09:04:00,25-34,Male,Excel,3,Helpful for beginners,2024-04-08,21
2024-04-29 22:14:00,25-34,Female,Excel,4,Good but needs more features,2024-04-29,28
2024-04-16 08:08:00,25-34,Female,Tableau,1,Makes analysis simple,2024-04-16,21
2024-05-02 11:10:00,35-44,Male,Excel,5,Could be faster,2024-05-02,15
2024-04-04 19:42:00,45+,Male,Excel,4,Fast and reliable,2024-04-04,17
2024-05-08 22:50:00,25-34,Female,Python,1,Very easy to use,2024-05-08,16
2024-04-19 00:23:00,25-34,Female,Python,5,Fast and reliable,2024-04-19,17
2024-04-25 19:39:00,35-44,Female,R,4,Could add more charts,2024-04-25,21
2024-05-01 15:52:00,35-44,Female,Tableau,3,Amazing analytics,2024-05-01,17
2024-04-08 04:52:00,25-34,Male,R,5,Very intuitive dashboard,2024-04-08,24
2024-04-07 02:40:00,35-44,Female,Excel,3,Makes analysis simple,2024-04-07,21
2024-04-07 00:20:00,45+,Female,Excel,3,Loved the visualization,2024-04-07,23
2024-04-03 15:16:00,18-24,Male,Tableau,1,Needs improvement,2024-04-03,17
2024-04-04 05:02:00,25-34,Female,Excel,5,Fast and reliable,2024-04-04,17
2024-05-07 13:26:00,45+,Other,Tableau,2,Very intuitive dashboard,2024-05-07,24
2024-04-15 08:55:00,25-34,Female,Tableau,4,Very easy to use,2024-04-15,16
2024-05-03 03:40:00,45+,Male,R,1,Very intuitive dashboard,2024-05-03,24
2024-04-01 21:17:00,18-24,Male,Excel,3,Excellent experience,2024-04-01,20
2024-04-30 05:02:00,35-44,Male,R,4,Needs improvement,2024-04-30,17
2024-04-24 02:53:00,25-34,Male,Python,3,Helpful for beginners,2024-04-24,21
2024-04-29 18:17:00,18-24,Male,Python,3,Could be faster,2024-04-29,15
2024-04-10 14:09:00,35-44,Male,Excel,5,Very intuitive dashboard,2024-04-10,24
2024-04-20 01:57:00,25-34,Male,Tableau,4,Makes analysis simple,2024-04-20,21
2024-04-10 04:57:00,35-44,Male,R,2,Very helpful for analysis,2024-04-10,25
2024-04-18 15:21:00,25-34,Female,R,1,Very helpful for analysis,2024-04-18,25
2024-05-05 00:23:00,25-34,Male,Python,1,Excellent experience,2024-05-05,20
2024-04-24 18:08:00,45+,Other,Tableau,2,Very intuitive dashboard,2024-04-24,24
2024-04-02 20:41:00,35-44,Other,R,5,Loved the visualization,2024-04-02,23
2024-05-03 00:18:00,25-34,Other,R,3,Interface is good,2024-05-03,17
2024-04-10 08:25:00,25-34,Other,Python,2,Makes analysis simple,2024-04-10,21
2024-05-09 17:04:00,18-24,Female,Power Bi,2,Needs improvement,2024-05-09,17
2024-04-27 17:24:00,25-34,Other,Tableau,2,Great tool very useful,2024-04-27,22
2024-04-05 21:54:00,35-44,Other,Excel,3,Loved the visualization,2024-04-05,23
2024-04-18 09:33:00,45+,Other,R,4,Very easy to use,2024-04-18,16
2024-05-04 19:51:00,18-24,Other,R,3,Needs improvement,2024-05-04,17
2024-04-20 05:27:00,18-24,Male,Power Bi,1,Could add more charts,2024-04-20,21
2024-04-29 12:18:00,35-44,Male,Python,1,Needs improvement,2024-04-29,17
2024-04-30 09:19:00,25-34,Other,Excel,1,Amazing analytics,2024-04-30,17
2024-04-16 20:16:00,35-44,Other,Excel,1,Needs improvement,2024-04-16,17
2024-04-09 08:08:00,18-24,Male,Excel,2,Needs improvement,2024-04-09,17
2024-04-13 21:14:00,25-34,Male,R,3,Could add more charts,2024-04-13,21
2024-04-06 05:17:00,35-44,Female,R,3,Makes analysis simple,2024-04-06,21
2024-05-05 23:38:00,25-34,Female,Python,2,Amazing analytics,2024-05-05,17
2024-05-11 17:03:00,25-34,Female,R,1,Needs improvement,2024-05-11,17
2024-04-11 18:49:00,25-34,Male,Excel,3,Very easy to use,2024-04-11,16
2024-05-02 18:46:00,35-44,Other,Tableau,2,Amazing analytics,2024-05-02,17
2024-04-28 08:37:00,25-34,Other,Excel,1,Could add more charts,2024-04-28,21
2024-04-03 19:33:00,35-44,Male,Excel,3,Helpful for beginners,2024-04-03,21
2024-05-03 04:59:00,35-44,Female,Python,2,Could add more charts,2024-05-03,21
